N,Drug.Name,Max.Norm.Ranking,List.ID,Within.Top.20.List.ID,Clusternew,Target.Organism,MeSH,TBC,Chem,Formula,SMILE,MW,LogP_LogS,CT,CTDupl (Sdist=0),CTsim (Sdist<=0.2),Shortlisted,Altname,ALTtarget
1,dexamethasone,1,"Tr1 - Series 1-7, TrC1 - Series 1-7","Tr1 - Series 1-7, TrC1 - Series 1-7, TrC2 - Series 15",1,Human, Anti-inflammatory; Corticosteroid, HMG-CoA reductase Inhibitor, Steroid,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.5,1.93/-3.89,1,,methylprednisolone,,Dexamethasone,
2,atorvastatin,1,Tr2 - Series 15,,21,Human, Anticholesteremic, Cholesterol synthesis Inhibitor, Pyrrole ,C33H35FN2O5,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,558.6,4.24/-5.95,1,,,,Atorvastatin,
3,beta-estradiol,1,TrC4 - PBMC,,24,Human, Estrogen (MeSH), Estrogen receptor agonist, Steroid,C18H24O2,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,272.4,3.57/-4.11,0,,,,Beta-estradiol,
4,vorinostat,1,Tr3 - BALF,,35,Human, Antineoplastic, Histone deacetylase inhibitor, Anilide,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,264.32,1.88/-3.57,0,,,2,Vorinostat,
5,olanzapine,1,Tr4 - PBMC,,54,Human, Atypical antipsychotic, 5-HT ligand; D2 dopamine receptor ligand; Histamine receptor ligand, Heterocyclic; Benzodiazepine,C17H20N4S,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN (CC4)C,312.4,3.61/-3.52,0,,,,Olanzapine,
6,cyclosporin a,1,TrC3 - BALF,"TrC3 - BALF, TrC1 - Series 1-7",74,Human, Immunosuppressive, Calcineurin inhibitor, Cyclic peptide,C62H111N11O12,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,1202.6,4.12/-5.10,1,,,,Cyclosporin-a,
7,rosiglitazone,1,TrC2 - Series 15,"TrC2 - Series 15, TrC4 - PBMC",89,Human, Hypoglycemic agent, Peroxisome proliferator-activated receptor, Thiazole; Thiazolidinedione,C18H19N3O3S,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,357.4,2.95/-3.97,0,,,,Rosiglitazone,
8,bosutinib,1,GW,,135,Human, Antineoplastic agent, Src tyrosine kinase inhibitor, Aromatic amine; Aniline ,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C #N)OC,530.4,4.87/-4.75,0,,,2,Bosutinib,
9,zinc acetate,1,HPH,,148,Human, Antibacterial agent, , Acetate,C4H6O4Zn,CC(=O)[O-].CC(=O)[O-].[Zn+2],183.5,0.20/-0.57,0,,,,Zinc acetate,
10,benzyl (2-oxopropyl)carbamate,1,HPAV,"HPAV, TaxAV",162,SARS-CoV, , Replicase polyprotein 1ab inhibitor; 3 clpro protease inhibitor, Benzyloxycarbonyl; Ketone,C11H13 NO3,CC(=O)CNC(=O)OCC1=CC=CC=C1,207.23,0.89/-2.72,0,,,1,Benzyl (2-oxopropyl) carbamate,SARS-CoV Replicase Polyprotein 1ab; SARS-CoV 3 clpro protease inhibitor
11,Remdesivir,1,TaxAV,"TaxAV, HPAV",168,SARS-CoV, Antiviral, Adenine nucleotide analogue, Aromatic amine,C27H35N6O8P,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N) O)O)OC4=CC=CC=C4,602.6,2.20/-3.25,1,,,1,Remdesivir,SARS-CoV Replicase Polyprotein 1ab; Ebolavirus RNA-directed RNA polymerase L
12,dasatinib,0.947368421,"Tr1 - Series 1-7, Tr3 - BALF","Tr1 - Series 1-7, Tr3 - BALF",2,Human, Antineoplastic, Src Tyrosine kinase inhibitor," Aromatic amine; Thiazoles, aminopyrimidine",C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4) CCO,488,2.77/-4.58,0,,,2,Dasatinib,
13,mercaptopurine,0.947368421,Tr4 - PBMC,"Tr4 - PBMC, GW",55,Human, Antineoplastic; Immunomodulatory agent; Antimetabolite, Purine analogue; Enzyme inhibitor, Sulfhydryl compound; Aryl thiol; Purine analogue,C5H4N4S,C1=NC2=C(N1)C(=S)N= CN2,152.18,0.056034483,0,,,,Mercaptopurine,
14,"2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",0.947368421,HPAV,"HPAV, TaxAV",163,SARS-CoV, Enzyme inhibitor, SARS replicase polyprotein 1a inhibitor, Nitrobenzene; Toluene; Trifluoromethylbenzene; ,C14H7Cl2F3N2O6S,CC1=CC(=C(C=C1Cl)Cl)S(=O)(=O)C2=C(C=C(C=C2 [N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],459.2,3.43/-6.24,0,,,1,D3F,SARS-CoV Replicase Polyprotein 1a
15,raloxifene,0.947368421,TrC1 - Series 1-7,,72,Human, Antineoplastic; Bone Density Conservation agent, Hormone;Selective estrogen receptor modulator; Estrogen antagonist, Aromatic cyclic amino compound; Benzylidene.,C28H27NO4S,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C (C=C5)O,473.6,5.45/-5.97,0,,,,Raloxifene,
16,cytarabine,0.947368421,TrC3 - BALF,,107,Human, Antineoplastic; Immunosuppressive; Antimetabolite; Antiviral, Pyrimidine analogue; Tyrosine protein kinase Src inhibitor; protease inhibitor, Heterocycle; Pyrimidine; Arabinonucleoside,C9H13N3O5,C1=CN(C(=O)N=C1N)C2C (C(C(O2)CO)O)O,243.22,2.945945946,0,,,2,Cytarabine,
17,imatinib,0.947368421,TrC4 - PBMC,,120,Human, Antineoplastic, Tyrosine kinase inhibitor, Benzamides; Aromatic amine,C29H31N7O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4) C5=CN=CC=C5,493.6,3.47/-4.53,1,,,2,Imatinib,
18,selumetinib,0.894736842,Tr1 - Series 1-7,,3,Human, Anti-neurofibromatosis type 1, MAP kinase inhibitor; MEK inhibitor, Secondary amino; Benzimidazole,C17H15BrClFN4O3,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,457.7,3.24/-4.34,0,,,,Selumetinib,
19,azd-8055,0.894736842,Tr2 - Series 15,,22,Human, Antiproliferative*, Phosphatidyl inositol 3' kinase-related kinase inhibitor; Voltage-gated potassium channel ligand; Rapamycin kinase inhibitor, Oxazine; Morpholine,C25H31N5O4,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC C5C,465.5,2.87/-3.29,0,,,,Azd-8055,
20,avrainvillamide-analog-3,0.894736842,Tr3 - BALF,,36,Human, Antiproliferative*, Nuclear chaperone nucleophosmin ligand, Alkaloid,C22H21N3O5,CC1(C2CC34CCCN3C(=O)C2(C=C5C1=[N+](C6=CC7=C(C=C65)OCO7)[O-])NC4=O)C,407.4,0.67/-2.79,0,,,,Avrainvillamide-analog-3,
21,linsitinib,0.894736842,Tr4 - PBMC,,56,Human, Antineoplastic, Insulin receptor inhibitor; Insulin-like growth factor-I receptor inhibitor; Type II Receptor tyrosine kinase inhibitor, Pyrazines; Quinoline,C26H23N5O,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC =CC =C6)O,421.5,4.32/-5.19,0,,,,Linsitinib,
22,fluocinolone acetonide,0.894736842,TrC2 - Series 15,,90,Human, Anti-inflammatory, Steroid Hormone Receptor Agonist, Steroid; Alcohol; Ketone,C24H30F2O6,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,452.5,2.47/-3.92,0,,budesonide,,Fluocinolone acetonide,
23,dobutamine,0.894736842,TrC3 - BALF,,108,Human, Sympathomimetic; Cardiac stimulant, Adrenergic beta-1 Receptor Agonist, Catecholamine; secondary amine,C18H23NO3,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,301.4,2.97/-4.34,0,,,,Dobutamine,
24,bromfenac,0.894736842,TrC4 - PBMC,,121,Human, NSAID, COX inhibitor, Ketone; Benzophenones; Aromatic amine; Anilines; ,C15H12BrNO3,C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC (=O)O,334.16,3.00/-4.42,0,,,,Bromfenac,
25,testosterone,0.894736842,GW,,123,Human," Hormone, Androgen, Anabolic", Sex hormone receptor agonist, Steroid; Androgen,C19H28O2,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,288.4,2.99/-3.94,0,,hydrocortisone,,Testosterone,
26,hydroxychloroquine,0.894736842,HPH,,149,Human," Antiparasitic agent, Antimalarial, Antirheumatic agent"," Enzyme inhibitor, heme polymerase inhibitor, endosomes modulator, toll-like receptors inhibitor",  Aromatic amine; Aminoquinoline,C18H26ClN3O,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,335.9,3.87/-4.11,1,,hydroxychloroquine sulfate;chloroquine;chloroquine phosphate,,Hydroxychloroquine,
27,hydroxyurea,0.894736842,TrC1 - Series 1-7,"TrC1 - Series 1-7, TrC3 - BALF",73,Human," Antineoplastic agent, Antimetabolite, Antisickling agent", Nucleic acid synthesis inhibitor; Ribonucleoside-diphosphate reductase inhibitor, Urea,CH4N2O2,C(=O)(N)NO,76.05,-3.327272727,0,,,,Hydroxyurea,
28,"S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",0.894736842,HPAV,"HPAV, TaxAV",164,SARS-CoV, , , Furans; Triazoles,C16H8F3N3O2S,C1=CC=C(C=C1)C#CC2=CC=C(O2)C(=O)SC3=NNC (=N3)C(F)(F)F,363.3,3.93/-4.16,0,,,1,F3F,SARS-CoV Replicase Polyprotein 1ab
29,daunorubicin,0.842105263,Tr1 - Series 1-7,"Tr1 - Series 1-7, TrC1 - Series 1-7",4,Human, Antineoplastic; Antibiotic, Topoisomerase II Inhibitor," Aminoglycosides; Anthracyclines; Cyclic ketone, Acenoquinone",C27H29NO10,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,527.5,1.68/-2.93 ,0,,,,Daunorubicin,
30,pd-0325901,0.842105263,Tr2 - Series 15,"Tr2 - Series 15, Tr1 - Series 1-7",9,Human, , , Benzamide,C16H14F3IN2O4,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,482.19,2.64/-4.19,0,,,,PD-0325901,
31,zidovudine,0.842105263,TrC2 - Series 15,"TrC2 - Series 15, HPAV",91,Human," Antiviral agent, Antimetabolite", Nucleoside and Nucleotide Reverse Transcriptase Inhibitor, Glycoside; Pyrimidine; Dideoxynucleosides,C10H13N5O4,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],267.24, -0.10/-1.21,0,,,,Zidovudine,
32,5-amino-2-methyl-N-[(1R)-1-naphthalen-1-ylethyl]benzamide,0.842105263,HPAV,"HPAV, TaxAV",165,SARS-CoV, , , Carboxylic acid nitrile; cyano compound; peptide,C20H20N2O,CC1=C(C=C(C=C1)N)C(=O)NC(C)C2=CC=CC3=CC= CC=C32,304.4,3.79/-5.73,0,,,1,GRL0617,SARS-CoV Replicase Polyprotein 1ab
33,ag-14361,0.842105263,Tr3 - BALF,,37,Human, , Poly ADP-ribose polymerase inhibitor, Benzodiazepine;,C19H20N4O,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,320.4,2.38/-3.13,0,,,,AG-14361,
34,nvp-bez235,0.842105263,Tr4 - PBMC,,57,Human, Antineoplastic, Phosphatidyl inositol 3' kinase-related kinase inhibitor; Lipid modifying kinase inhibitor, Imidazole; Imidazoquinoline,C30H23N5O,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N =C5,469.5,4.65/-4.92,0,,,2,Dactolisib,
35,carboplatin,0.842105263,TrC3 - BALF,,109,Human, Antineoplastic, , Coordination Complex;,C6H12N2O4Pt,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],371.25,0.04/0.14,0,,,,Carboplatin,
36,zileuton,0.842105263,TrC4 - PBMC,,122,Human, NSAID, Leukotriene antagonist; Lipoxygenase Inhibitor, Urea; Benzothiophene,C11H12N2O2S,CC(C1=CC2=CC=CC=C2S 1)N(C(=O)N)O,236.29,2.01/-3.64,0,,,,Zileuton,
37,staurosporine,0.842105263,GW,,137,Human, Multi-enzyme inhibitor, Protein kinase C inhibitor; CAMK2 inhibitor; Death-associated kinase inhibitor; Phosphorylase kinase inhibitor; Tyrosine-(Y)-phosphorylation regulated kinase inhibitor; Acetylcholine receptor ligand, Indole; indolocarbazole alkaloid,C28H26N4O3,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,466.5,3.14/-4.03,0,,,,Staurosporine,
38,fasudil,0.789473684,Tr2 - Series 15,,23,Human, Peripheral vasodilators, ROCK inhibitor; DMPK kinase inhibitor; Calcium Channel Blocker , Sulfonamides,C14H17N3O2S,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,291.37,0.16/-2.74,0,,,,Fasudil,
39,gsk-1059615,0.789473684,Tr3 - BALF,,38,Human, ," Enzyme inhibitor, PI3K inhibitor",  Pyridine; quinoline; thiazolidinone,C18H11N3O2S,C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4,333.4,2.71/-4.92,0,,,,GSK-1059615,
40,pi 103 hydrochloride,0.789473684,Tr4 - PBMC,,58,Human, , AGC protein kinase inhibitor; PKC inhibitor; CMGC protein kinase inhibitor; tyrosine protein kinase inhibitor , ,C19H17ClN4O3,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O.Cl,384.8, 3.23/-3.10,0,,,,Pi 103 hydrochloride,
41,hexachlorophene,0.789473684,TrC1 - Series 1-7,,75,Human," Anti-infective agent, Antiseptic", , Chlorobenzene; Chlorophenol,C13H6Cl6O2,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl) O)O)Cl,406.9,6.77/-5.97,0,,,,Hexachlorophene,
42,ofloxacin,0.789473684,TrC2 - Series 15,,92,Human, Antibacterial; Antineoplastic, Topoisomerase IV inhibitor, Aromatic amine; N-arylpiperazine; quinolone,C18H20FN3O4,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.4,0.008333333,0,levofloxacin,levofloxacin,,Ofloxacin,
43,leflunomide,0.789473684,TrC3 - BALF,,110,Human, Antirheumatic agent, Nucleoside synthesis inhibitor; oxidoreductase inhibitor, Isoxazole,C12H9F3N2O2,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,270.21,2.52/-3.51,1,,,,Leflunomide,
44,prasterone,0.789473684,GW,,138,Human," Anabolic steroid, hormone"," Estrogen receptor agonist; androgen receptor agonist;  GABAa antagonist, NMDA agonist", Steroid ,C19H28O2,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4) O)C,288.4,3.53/-3.82,0,,,,Prasterone,
45,n-(2-aminoethyl)-1-aziridineethanamine,0.789473684,HPH,,150,Human, Antiviral agent, ACE2 inhibitor, Aziridine,C6H15N3,C1CN1CCNCCN,129.2,-2.775510204,0,,,2,N-(2-aminoethyl)-1-aziridineethanamine,
46,triptolide,0.789473684,Tr1 - Series 1-7,,5,Human," Antineoplastic alkylating agent; antispermatogenic agent; immunosuppressive agent,  ", , Terpene; phenanthrenes; diterpenes; diterpenoid,C20H24O6,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C,360.4,1.22/-2.61,0,,,,Triptolide,
47,NALPHA-[(BENZYLOXY)CARBONYL]-N-[(1R)-4-HYDROXY-1-METHYL-2-OXOBUTYL]-L-PHENYLALANINAMIDE,0.789473684,HPAV,"HPAV, TaxAV",166,SARS-CoV, , Inhibitor for the Major Protease of the SARS Coronavirus, ,C22H26N2O5,CC(C(=O)CCO)NC(=O)C(CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2,398.5,1.55/-4.44,0,,,1,WR1,SARS-CoV Major Protease MPro
48,y-27632,0.736842105,Tr1 - Series 1-7,,6,Human, Neuromuscular; muscle relaxant; antihypertensive agent; Enzyme inhibitor," Rho kinase inhibitor, protein kinase N inhibitor.", Pyridine; aromatic amide,C14H21N3O,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,247.34,1.00/-2.65,0,,,,Y-27632,
49,4-(Dimethylamino)benzoic acid,0.736842105,HPAV,"HPAV, TaxAV",167,SARS-CoV, , , Aminobenzoate,C9H11NO2,CN(C)C1=CC=C(C=C1)C(=O)O,165.19,1.51/-1.29,0,,,,DG8735000,
50,saracatinib,0.736842105,Tr3 - BALF,,39,Human, Antineoplastic agent; enzyme inhibitor, Src inhibitor; tyrosine kinase inhibitor, Benzodioxoles; quinazoline,C27H32ClN5O5,CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl,542,3.53/-3.76,0,,,2,Saracatinib,
51,ly-255283,0.736842105,Tr4 - PBMC,,59,Human, Antiasthmatic agent, Leukotriene Antagonists, Tetrazoles; aromatic ketone,C19H28N4O3,CCC1=CC(=C(C=C1OCCCCCC(C)(C)C2=NNN=N2) O)C (=O)C,360.5,4.55/-3.95,0,,,,LY-255283,
52,rofecoxib,0.736842105,TrC1 - Series 1-7,,76,Human, NSAID; Analgesic non-narcotic agent, COX2 inhibitor, Lactone; furan; butanolide,C17H14O4S,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,314.4,2.32/-4.47 ,0,,,,Rofecoxib,
53,simvastatin,0.736842105,GW,,81,Human, Antimetabolite; anticholesteremic; hypolipidemic, Hydroxymethylglutaryl-CoA Reductase Inhibitor, Polycyclic aromatic; naphthalene; fatty acid ester,C25H38O5,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,418.6,4.51/-4.53,1,,,,Simvastatin,
54,ebastine,0.736842105,TrC2 - Series 15,,93,Human, Antihistamine, H1 antagonist," Piperidine; ketone, butyrophenone",C32H39NO2,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,469.7,6.89/-6.86,0,,,,ebastine,
55,cisplatin,0.736842105,TrC3 - BALF,,111,Human, Antineoplastic; radiation-sensitizing agent, , Platinum compound,H4Cl2N2Pt,[NH2-].[NH2-].Cl[Pt+2]Cl,298,0.33/-0.77 ,0,,,,Cisplatin,
56,hydroquinone,0.736842105,TrC4 - PBMC,,124,Human, Antioxidant; radiation-protective agent, Melanin Synthesis Inhibitor; HDAC inhibitor, Phenol; benzenediol,C6H6O2,C1=CC(=CC=C1O)O,110.11,0.71/-0.06,0,,,2,Hydroquinone,
57,calcium citrate,0.736842105,HPH,,151,Human, Anticoagulant, Calcium chelating agent, Tricarboxylic acid derivative,C12H10Ca3O14,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2],498.4,0.13/-2.08,0,,,,Calcium citrate,
58,jak3-inhibitor-i,0.684210526,Tr1 - Series 1-7,,7,Human, , AGC protein kinase inhibitor; tyrosine kinase inhibitor, Heterocyclic compound,C26H30ClN7O2,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NCC4=CC(=CC=C4)NC(=O)C=C)Cl)OC,508,4.54/-4.53,0,,,,JAK3-IN-1,
59,pracinostat,0.684210526,Tr3 - BALF,,40,Human, , Histone deacetylase inhibitor, Benzimidazole,C20H30N4O2,CCCCC1=NC2=C(N1CCN(CC)CC)C=CC(=C2)C=CC (=O)NO,358.5,3.98/-4.07,0,,,,Pracinostat,
60,blebbistatin,0.684210526,Tr4 - PBMC,,60,Human, , , Tertiary alcohol; ketone; pyrroloquinoline,C18H16N2O2,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O,292.3,2.00/-3.17,0,,,,Blebbistatin,
61,pioglitazone,0.684210526,TrC1 - Series 1-7,,77,Human, Hypoglycemic agent, , Azole; thiazole; thiazolidinedione,C19H20N2O3S,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,356.4,3.17/-4.91,0,,,,Pioglitazone,
62,tegafur,0.684210526,TrC2 - Series 15,,94,Human, Antimetabolite; Antineoplastic; Immunosuppressive, , Pyrimidine; fluorouracil,C8H9FN2O3,C1CC(OC1)N2C=C(C(=O)NC2=O)F,200.17,0.077586207,0,,,,Tegafur,
63,choline salicylate,0.684210526,HPH,,114,Human," NSAID, analgesic non-narcotic", COX inhibitor," Acid; benzoate; salicylate, phenol; hydroxybenzoic acid",C12H19NO4,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-],241.28,0.107142857,0,,,,Choline salicylate,
64,methotrexate,0.684210526,TrC4 - PBMC,"TrC4 - PBMC, TrC1 - Series 1-7",82,Human, Antimetabolite; antineoplastic; abortifacient; immunosuppressive; antirheumatic, Folic acid metabolism inhibitor; nucleic acid synthesis inhibitor, Acid; pterin; aminopterin,C20H22N8O5,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,454.4,0.266081871,1,,folic acid,2,Methotrexate,
65,clofibrate,0.684210526,TrC3 - BALF,"TrC3 - BALF, TrC2 - Series 15",106,Human, Hypolipidemic; Anticholesteremic, Peroxisome proliferator-activated receptor inhibitor, Clofibric Acid; ethyl ester,C12H15ClO3,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.7,3.99/-3.92,0,,,,Clofibrate,
